Timestamp,Animal,Staff,Log Type,Date,Time,Feeding Log,Did you feed all individuals? ,"If not, who did you feed?",What did you feed? (Weight per animal) [<1/4 lb],What did you feed? (Weight per animal) [1/4 lb],What did you feed? (Weight per animal) [1/2 lb],What did you feed? (Weight per animal) [3/4 lb],What did you feed? (Weight per animal) [1 lb],What did you feed? (Weight per animal) [1.25 lb],What did you feed? (Weight per animal) [1.5 lb],What did you feed? (Weight per animal) [1.75 lb],What did you feed? (Weight per animal) [2 lb],What did you feed? (Weight per animal) [5 lb],What did you feed? (Weight per animal) [10 lb],What did you feed? (Weight per animal) [15 lb],What did you feed? (Weight per animal) [20 lb],If other,Deer feed scoops,Observation Log,Observation Type,Finding,Habitat Cleaning Log,Description of cleaning,Enrichment Log,Which individuals in habitat?,Enrichment type,Enrichment type details,Time In,Time Out,Response,Notes,Medical Logs,Animal Name,Encounter Type,Injury Log,Type,Injury description,Exam Type,Animal sedated?,Vet notified?,Vet response,Did you administer medication?,Sedation Log,Sedation medication used,Which sedation kit was used?,Administration method,Dose,Time administered,Time to respond,Medication Log,Type,Dose,Administration Route,Did animal take medication?,Did you sedate?,Vet Log,Type,Vet name,Type,Location,Notes,Reminders,Reminder Date,Reminder/Note
11/29/2024 17:17,Bobcat,Jake,Feeding/Observation,11/29/2024,4:30:00 PM,,Yes,,,,,,,,,,,,,,,0.40lb of NB ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2024 12:10,Wolf,Jake,Habitat Cleaning/Observation,11/29/2024,12:00:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Water change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2024 10:35,Red Fox,Jake,Feeding/Observation,11/29/2024,9:30:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2024 10:35,Bobcat,Jake,Feeding/Observation,11/29/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2024 10:36,Wolf,Jake,Observation,11/29/2024,8:30:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 17:07,Bobcat,Jake,Feeding/Observation,11/28/2024,5:00:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 17:08,Red Fox,Jake,Feeding/Observation,11/28/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,0.40lb of NB,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 17:08,Wolf,Jake,Habitat Cleaning/Observation,11/28/2024,4:00:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Water change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 17:10,Bobcat,Jake,Habitat Cleaning/Observation,11/28/2024,1:00:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Pad cleaning, Water change, Pressure washed walk way",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 17:09,Red Fox,Jake,Habitat Cleaning/Observation,11/28/2024,10:15:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Pad cleaning, Water change, Pressure washed fence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 17:06,Red Fox,Jake,Feeding/Observation,11/28/2024,10:00:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 9:26,Bobcat,Jake,Feeding/Observation,11/28/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2024 9:26,Bobcat,Jake,Habitat Cleaning/Observation,11/28/2024,9:00:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Pad cleaning, Water change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2024 19:27,Red Fox,John,Feeding/Observation,11/27/2024,4:45:00 PM,,Yes,,Whole prey,Nebraska Brand,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2024 19:27,Bobcat,John,Feeding/Observation,11/27/2024,4:30:00 PM,,Yes,,Whole prey,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2024 19:26,Wolf,John,Feeding/Observation,11/27/2024,2:00:00 PM,,Yes,,,,,,Nebraska Brand,,,,Nebraska Brand,Nebraska Brand,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2024 9:52,Red Fox,John,Feeding/Observation,11/27/2024,9:45:00 AM,,Yes,,Nebraska Brand,Fresh Vegetables,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2024 9:46,Bobcat,John,Feeding/Observation,11/27/2024,9:20:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2024 16:26,Red Fox,John,Feeding/Observation,11/26/2024,4:25:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2024 16:25,Bobcat,John,Feeding/Observation,11/26/2024,4:15:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2024 9:15,Bobcat,Krystal,Feeding/Observation,11/26/2024,9:15:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2024 9:15,Bobcat,Krystal,Habitat Cleaning/Observation,11/26/2024,9:00:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Pad cleaning, Water change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2024 17:37,Red Fox,Krystal,Feeding/Observation,11/22/2024,5:20:00 PM,,Yes,,,,,,,,,,,,,,,0.40lb of 2 mice and the rest NB ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2024 17:38,Bobcat,Krystal,Feeding/Observation,11/22/2024,5:10:00 PM,,Yes,,,,,,,,,,,,,,,0.5lb of two mice and the rest NB each ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024 9:07,Bobcat,Krystal,Feeding/Observation,11/18/2024,8:50:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2024 17:22,Bobcat,John,Feeding/Observation,11/17/2024,5:15:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2024 16:37,Red Fox,John,Feeding/Observation,11/17/2024,4:30:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2024 10:28,Red Fox,John,Feeding/Observation,11/17/2024,10:25:00 AM,,Yes,,Nebraska Brand,Fresh Vegetables,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2024 10:27,Bobcat,John,Feeding/Observation,11/17/2024,10:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2024 16:38,Red Fox,John,Feeding/Observation,11/16/2024,4:20:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2024 16:38,Bobcat,John,Feeding/Observation,11/16/2024,4:10:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2024 16:39,Wolf,John,Feeding/Observation,11/16/2024,2:00:00 PM,,Yes,,,,,,OTHER,,,,,,Nebraska Brand,,,Bones,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2024 10:11,Red Fox,John,Feeding/Observation,11/16/2024,9:45:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2024 10:10,Bobcat,John,Feeding/Observation,11/16/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024 11:53,Red Fox,Krystal,Habitat Cleaning/Observation,11/15/2024,10:30:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Pad cleaning, Water change, Waste removal, Brush removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024 9:42,Red Fox,Krystal,Feeding/Observation,11/15/2024,9:30:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024 9:40,Bobcat,Krystal,Feeding/Observation,11/15/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024 9:11,Red Fox,Krystal,Feeding/Observation,11/14/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,Jamie got 0.40lb of NB and sabra got 0.30lb of NB,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2024 10:26,Wolf,Krystal,Habitat Cleaning/Observation,11/14/2024,10:15:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Water change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2024 10:24,Red Fox,Krystal,Feeding/Observation,11/14/2024,9:30:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2024 10:26,Red Fox,Krystal,Habitat Cleaning/Observation,11/14/2024,9:30:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Pad cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2024 10:22,Bobcat,Krystal,Feeding/Observation,11/14/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024 16:50,Red Fox,John,Feeding/Observation,11/13/2024,4:45:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024 16:50,Bobcat,John,Feeding/Observation,11/13/2024,4:30:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024 14:55,Wolf,John,Feeding/Observation,11/13/2024,2:00:00 PM,,Yes,,,,,,,,,,Nebraska Brand,,Nebraska Brand,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024 9:48,Red Fox,John,Feeding/Observation,11/13/2024,9:35:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024 9:31,Bobcat,John,Feeding/Observation,11/13/2024,9:15:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 17:20,Red Fox,Krystal,Feeding/Observation,11/11/2024,5:15:00 PM,,Yes,,,,,,,,,,,,,,,0.40lb of NB each ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 17:19,Bobcat,Krystal,Feeding/Observation,11/11/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,0.15lb of Chicken and 0.35lb of NB each,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 15:56,Red Fox,Krystal,Habitat Cleaning/Observation,11/11/2024,3:30:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Filled in holes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 14:11,Wolf,Krystal,Habitat Cleaning/Observation,11/11/2024,1:15:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Waste removal, Brush removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 10:26,Wolf,Krystal,Habitat Cleaning/Observation,11/11/2024,10:20:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Water change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 10:07,Red Fox,Krystal,Habitat Cleaning/Observation,11/11/2024,10:00:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Water change, Waste removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 10:06,Red Fox,Krystal,Feeding/Observation,11/11/2024,9:45:00 AM,,Yes,,Fresh Vegetables,,,,,,,,,,,,,"0.10lb of NB each, 0.15lb of chicken, and 0.25lb of veg",,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 9:47,Bobcat,Krystal,Habitat Cleaning/Observation,11/11/2024,9:15:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Pad cleaning, Water change, Pond cleaning, Waste removal, Brush removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024 9:46,Bobcat,Krystal,Feeding/Observation,11/11/2024,9:00:00 AM,,Yes,,,"Nebraska Brand, Chicken",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2024 17:28,Red Fox,Krystal,Feeding/Observation,11/10/2024,5:10:00 PM,,Yes,,,,,,,,,,,,,,,0.40lb of NB each,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2024 17:27,Bobcat,Krystal,Feeding/Observation,11/10/2024,4:45:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2024 14:16,Red Fox,Krystal,Habitat Cleaning/Observation,11/10/2024,2:00:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Pad cleaning, Water change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2024 14:17,Wolf,Krystal,Habitat Cleaning/Observation,11/10/2024,1:50:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Water change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2024 13:54,Bobcat,Krystal,Feeding/Observation,11/10/2024,9:45:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2024 13:54,Red Fox,Krystal,Feeding/Observation,11/10/2024,9:00:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2024 17:25,Bobcat,Krystal,Feeding/Observation,11/9/2024,5:10:00 PM,,Yes,,,"Nebraska Brand, Chicken",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2024 17:26,Red Fox,Krystal,Feeding/Observation,11/9/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,0.40lb of NB each ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2024 14:46,Wolf,Krystal,Feeding/Observation,11/9/2024,2:00:00 PM,,Yes,,,,,,,,,,,,,,,8 beef bones per pack. Pack of 2 got 10lb of NB pack of 3 got 5lb of NB ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2024 8:59,Bobcat,Krystal,Feeding/Observation,11/9/2024,8:45:00 AM,,Yes,,,"Nebraska Brand, Chicken",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2024 9:01,Red Fox,Krystal,Feeding/Observation,11/9/2024,8:30:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2024 16:36,Bobcat,John,Feeding/Observation,11/8/2024,4:30:00 PM,,Yes,,,Nebraska Brand,,,,,,,,,,,,,,,DVE,Both had no interest in food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2024 9:12,Wolf,John,Observation,11/8/2024,9:12:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2024 9:12,Red Fox,John,Feeding/Observation,11/8/2024,9:05:00 AM,,Yes,,OTHER,Fresh Vegetables,,,,,,,,,,,,Butcher's beef ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2024 9:01,Bobcat,John,Feeding/Observation,11/8/2024,8:45:00 AM,,Yes,,,OTHER,,,,,,,,,,,,Butcher beef mix,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2024 9:54,Bobcat,Krystal,Feeding/Observation,11/7/2024,8:50:00 PM,,Yes,,,,,,,,,,,,,,,Carter 0.5lb of NB cash got 0.3lb of NB,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2024 9:55,Red Fox,Krystal,Feeding/Observation,11/7/2024,9:00:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2024 8:38,Red Fox,Miranda,Medical,11/6/2024,8:20:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamie,Medication,,,,,,,,,,,,,,,,,Gabapentin,100-120mg ,Oral,Yes,,,,,,,,,,
11/6/2024 8:39,Red Fox,Miranda,Medical,11/6/2024,8:20:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabra,Medication,,,,,,,,,,,,,,,,,Gabapentin,"120 mg REF, maybe licked about 10mg worth",Oral,No,,,,,,,,,,
11/6/2024 6:56,Bobcat,Miranda,Medical,11/6/2024,6:45:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carter,Medication,,,,,,,,,,,,,,,,,Gabapentin,300mg,Oral,Yes,,,,,,,,,,
11/6/2024 6:57,Bobcat,Miranda,Medical,11/6/2024,6:45:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash,Medication,,,,,,,,,,,,,,,,,Gabapentin,300mg,Oral,Yes,,,,,,,,,,
11/7/2024 7:45,Bobcat,Miranda,Habitat Cleaning/Observation,11/6/2024,6:45:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,Water change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2024 17:19,Red Fox,Miranda,Feeding/Observation,11/5/2024,4:40:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,.4lb NB each,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2024 17:21,Red Fox,Miranda,Habitat Cleaning/Observation,11/5/2024,4:40:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Water change, Fence maintenance, scooped moldy/fungi stained soil/mulch, blocked lower hide with log and board, filled in hole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2024 17:19,Bobcat,Miranda,Feeding/Observation,11/5/2024,4:00:00 PM,,No,Carter,,,Nebraska Brand,,,,,,,,,,,,,,DVE,"Cash Refused, Carter ate all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2024 17:22,Wolf,Miranda,Habitat Cleaning/Observation,11/5/2024,2:30:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Water change, Pond cleaning, Fence maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2024 17:18,Bobcat,Miranda,Enrichment/Observation,11/5/2024,2:00:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,,,All,Training session,Training session feeding bobcats through shift in habitat,2:00:00 PM,2:10:00 PM,3,"Eating but not right away, had John with dart pole for desense, did well overall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2024 17:21,Wolf,Miranda,Feeding/Observation,11/5/2024,1:00:00 PM,,Yes,,,Nebraska Brand,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2024 17:22,Wolf,Miranda,Medical,11/5/2024,1:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winema,Medication,,,,,,,,,,,,,,,,,"Meloxicam, Gabapentin","3.75mg meloxicam, 300mg gabapentin",Oral,Yes,,,,,,,,,,
