Timestamp,Animal,Staff,Log Type,Date,Time,Feeding Log,Did you feed all individuals? ,"If not, who did you feed?",What did you feed? (Weight per animal) [<0.15 lb],What did you feed? (Weight per animal) [0.25 lb],What did you feed? (Weight per animal) [0.5 lb],What did you feed? (Weight per animal) [0.75 lb],What did you feed? (Weight per animal) [1 lb],What did you feed? (Weight per animal) [1.25 lb],What did you feed? (Weight per animal) [1.5 lb],What did you feed? (Weight per animal) [1.75 lb],What did you feed? (Weight per animal) [2 lb],What did you feed? (Weight per animal) [5 lb],What did you feed? (Weight per animal) [10 lb],What did you feed? (Weight per animal) [15 lb],What did you feed? (Weight per animal) [20 lb],Additional weight information,Extra Food Info,If other,Amount_fed,Food_type,Deer feed scoops,Observation Type,Finding
11/26/2024 16:25,Bobcat,John,Feeding/Observation,11/26/2024,4:15:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/26/2024 9:15,Bobcat,Krystal,Feeding/Observation,11/26/2024,9:15:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/22/2024 17:37,Red Fox,Krystal,Feeding/Observation,11/22/2024,5:20:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of 2 mice and the rest NB ,,,,DVE,NSF
11/22/2024 17:38,Bobcat,Krystal,Feeding/Observation,11/22/2024,5:10:00 PM,,Yes,,,,,,,,,,,,,,,,,0.5lb of two mice and the rest NB each ,,,,DVE,NSF
11/18/2024 9:07,Bobcat,Krystal,Feeding/Observation,11/18/2024,8:50:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/17/2024 17:22,Bobcat,John,Feeding/Observation,11/17/2024,5:15:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/17/2024 16:37,Red Fox,John,Feeding/Observation,11/17/2024,4:30:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
11/17/2024 10:28,Red Fox,John,Feeding/Observation,11/17/2024,10:25:00 AM,,Yes,,Nebraska Brand,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
11/17/2024 10:27,Bobcat,John,Feeding/Observation,11/17/2024,10:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/16/2024 16:38,Red Fox,John,Feeding/Observation,11/16/2024,4:20:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
11/16/2024 16:38,Bobcat,John,Feeding/Observation,11/16/2024,4:10:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/16/2024 16:39,Wolf,John,Feeding/Observation,11/16/2024,2:00:00 PM,,Yes,,,,,,OTHER,,,,,,Nebraska Brand,,,,,Bones,,,,DVE,NSF
11/16/2024 10:11,Red Fox,John,Feeding/Observation,11/16/2024,9:45:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/16/2024 10:10,Bobcat,John,Feeding/Observation,11/16/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/15/2024 9:42,Red Fox,Krystal,Feeding/Observation,11/15/2024,9:30:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/15/2024 9:40,Bobcat,Krystal,Feeding/Observation,11/15/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/15/2024 9:11,Red Fox,Krystal,Feeding/Observation,11/14/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,,,Jamie got 0.40lb of NB and sabra got 0.30lb of NB,,,,DVE,NSF
11/14/2024 10:24,Red Fox,Krystal,Feeding/Observation,11/14/2024,9:30:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/14/2024 10:22,Bobcat,Krystal,Feeding/Observation,11/14/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/13/2024 16:50,Red Fox,John,Feeding/Observation,11/13/2024,4:45:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
11/13/2024 16:50,Bobcat,John,Feeding/Observation,11/13/2024,4:30:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/13/2024 14:55,Wolf,John,Feeding/Observation,11/13/2024,2:00:00 PM,,Yes,,,,,,,,,,Nebraska Brand,,Nebraska Brand,,,,,,,,,DVE,NSF
11/13/2024 9:48,Red Fox,John,Feeding/Observation,11/13/2024,9:35:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/13/2024 9:31,Bobcat,John,Feeding/Observation,11/13/2024,9:15:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/11/2024 17:20,Red Fox,Krystal,Feeding/Observation,11/11/2024,5:15:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB each ,,,,DVE,NSF
11/11/2024 17:19,Bobcat,Krystal,Feeding/Observation,11/11/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,,,0.15lb of Chicken and 0.35lb of NB each,,,,DVE,NSF
11/11/2024 10:06,Red Fox,Krystal,Feeding/Observation,11/11/2024,9:45:00 AM,,Yes,,Fresh Vegetables,,,,,,,,,,,,,,,"0.10lb of NB each, 0.15lb of chicken, and 0.25lb of veg",,,,DVE,NSF
11/11/2024 9:46,Bobcat,Krystal,Feeding/Observation,11/11/2024,9:00:00 AM,,Yes,,,"Nebraska Brand, Chicken",,,,,,,,,,,,,,,,,,DVE,NSF
11/10/2024 17:28,Red Fox,Krystal,Feeding/Observation,11/10/2024,5:10:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB each,,,,DVE,NSF
11/10/2024 17:27,Bobcat,Krystal,Feeding/Observation,11/10/2024,4:45:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/10/2024 13:54,Bobcat,Krystal,Feeding/Observation,11/10/2024,9:45:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/10/2024 13:54,Red Fox,Krystal,Feeding/Observation,11/10/2024,9:00:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/9/2024 17:25,Bobcat,Krystal,Feeding/Observation,11/9/2024,5:10:00 PM,,Yes,,,"Nebraska Brand, Chicken",,,,,,,,,,,,,,,,,,DVE,NSF
11/9/2024 17:26,Red Fox,Krystal,Feeding/Observation,11/9/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB each ,,,,DVE,NSF
11/9/2024 14:46,Wolf,Krystal,Feeding/Observation,11/9/2024,2:00:00 PM,,Yes,,,,,,,,,,,,,,,,,8 beef bones per pack. Pack of 2 got 10lb of NB pack of 3 got 5lb of NB ,,,,DVE,NSF
11/9/2024 8:59,Bobcat,Krystal,Feeding/Observation,11/9/2024,8:45:00 AM,,Yes,,,"Nebraska Brand, Chicken",,,,,,,,,,,,,,,,,,DVE,NSF
11/9/2024 9:01,Red Fox,Krystal,Feeding/Observation,11/9/2024,8:30:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/8/2024 16:36,Bobcat,John,Feeding/Observation,11/8/2024,4:30:00 PM,,Yes,,,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,Both had no interest in food
11/8/2024 9:12,Red Fox,John,Feeding/Observation,11/8/2024,9:05:00 AM,,Yes,,OTHER,Fresh Vegetables,,,,,,,,,,,,,,Butcher's beef ,,,,DVE,NSF
11/8/2024 9:01,Bobcat,John,Feeding/Observation,11/8/2024,8:45:00 AM,,Yes,,,OTHER,,,,,,,,,,,,,,Butcher beef mix,,,,DVE,NSF
11/7/2024 9:54,Bobcat,Krystal,Feeding/Observation,11/7/2024,8:50:00 PM,,Yes,,,,,,,,,,,,,,,,,Carter 0.5lb of NB cash got 0.3lb of NB,,,,DVE,NSF
11/7/2024 9:55,Red Fox,Krystal,Feeding/Observation,11/7/2024,9:00:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/5/2024 17:19,Red Fox,Miranda,Feeding/Observation,11/5/2024,4:40:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,.4lb NB each,,,,DVE,NSF
11/5/2024 17:19,Bobcat,Miranda,Feeding/Observation,11/5/2024,4:00:00 PM,,No,Carter,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,"Cash Refused, Carter ate all"
11/5/2024 17:21,Wolf,Miranda,Feeding/Observation,11/5/2024,1:00:00 PM,,Yes,,,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
11/5/2024 17:17,Bobcat,Miranda,Feeding/Observation,11/5/2024,9:30:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/4/2024 18:13,Red Fox,Krystal,Feeding/Observation,11/4/2024,5:20:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40 lb of nb each,,,,DVE,NSF
11/4/2024 18:12,Bobcat,Krystal,Feeding/Observation,11/4/2024,5:10:00 PM,,Yes,,,,,,,,,,,,,,,,,Carter got 0.6 lb of NB cash got 0.4 lb of NB,,,,DVE,NSF
11/4/2024 11:55,Red Fox,Krystal,Feeding/Observation,11/4/2024,9:20:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/4/2024 11:54,Bobcat,Krystal,Feeding/Observation,11/4/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Carter got 0.5lb of NB and cash got 0.4lb of NB,,,,DVE,NSF
11/3/2024 17:31,Red Fox,Miranda,Feeding/Observation,11/3/2024,4:45:00 PM,,Yes,,OTHER,Nebraska Brand,,,,,,,,,,,,,,".25lb nd each, .2lb bone and horse cut meat",,,,DVE,NSF
11/3/2024 17:27,Bobcat,Miranda,Feeding/Observation,11/3/2024,4:40:00 PM,,Yes,,"Nebraska Brand, Whole prey, OTHER",Nebraska Brand,,,,,,,,,,,,,,beef bone and horse meat cut off bone each,,,,DVE,NSF
11/3/2024 17:30,Wolf,Miranda,Feeding/Observation,11/3/2024,4:00:00 PM,,Yes,,,,OTHER,,,,,,,,,,,,,beef bones each,,,,DVE,NSF
11/3/2024 13:58,Wolf,Miranda,Feeding/Observation,11/3/2024,10:55:00 AM,,Yes,,,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
11/3/2024 13:58,Red Fox,Miranda,Feeding/Observation,11/3/2024,10:35:00 AM,,Yes,,"Nebraska Brand, Fresh Vegetables",Nebraska Brand,,,,,,,,,,,,,,.3lb NB and .15lb pepper each,,,,DVE,NSF
11/3/2024 13:54,Bobcat,Miranda,Feeding/Observation,11/3/2024,10:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF Cash ate about .4lb of the .5
11/2/2024 19:35,Red Fox,Krystal,Feeding/Observation,11/2/2024,5:20:00 PM,,Yes,,,,,,,,,,,,,,,,,0.4 lb of NB each ,,,,DVE,NSF
11/2/2024 19:34,Bobcat,Krystal,Feeding/Observation,11/2/2024,5:15:00 PM,,Yes,,,,,,,,,,,,,,,,,Cash got .40lb of NB and Carter got 0.50lb of NB,,,,DVE,NSF
11/2/2024 15:23,Wolf,Krystal,Feeding/Observation,11/2/2024,2:00:00 PM,,Yes,,,,,,,,,,,,,,,,,8lb of NB each and one beef bone each,,,,DVE,NSF
11/2/2024 10:18,Red Fox,Krystal,Feeding/Observation,11/2/2024,9:10:00 AM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB each,,,,DVE,NSF
11/2/2024 10:19,Bobcat,Krystal,Feeding/Observation,11/2/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Carter got 0.50lb of Nb and cash got 0.40lb of NB ,,,,DVE,NSF
11/2/2024 10:17,Red Fox,Krystal,Feeding/Observation,11/1/2024,7:10:00 PM,,Yes,,,,,,,,,,,,,,,,,Both got 0.40lb of NB,,,,DVE,NSF
11/2/2024 10:16,Bobcat,Krystal,Feeding/Observation,11/1/2024,7:00:00 PM,,Yes,,,,,,,,,,,,,,,,,Carter got 0.50lb of NB and cash got 0.30lb of NB,,,,DVE,NSF
11/1/2024 9:23,Red Fox,Krystal,Feeding/Observation,11/1/2024,9:15:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
11/1/2024 9:04,Bobcat,Krystal,Feeding/Observation,11/1/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Carter 0.50lb of NB and Cash 0.30lb of NB ,,,,DVE,NSF
10/31/2024 16:07,Red Fox,John,Feeding/Observation,10/31/2024,3:45:00 PM,,Yes,,"Nebraska Brand, Whole prey",Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
10/31/2024 16:07,Bobcat,John,Feeding/Observation,10/31/2024,3:30:00 PM,,Yes,,"Nebraska Brand, Whole prey",Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
10/31/2024 11:25,Red Fox,John,Feeding/Observation,10/31/2024,9:20:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
10/31/2024 11:24,Bobcat,John,Feeding/Observation,10/31/2024,9:15:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/30/2024 18:53,Red Fox,John,Feeding/Observation,10/30/2024,6:45:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
10/30/2024 18:53,Bobcat,John,Feeding/Observation,10/30/2024,6:00:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/30/2024 16:23,Wolf,Krystal,Feeding/Observation,10/30/2024,2:00:00 PM,,Yes,,,,,,,,,,,,,,,,,8lb per wolf,,,,DVE,NSF
10/30/2024 16:19,Bobcat,Krystal,Feeding/Observation,10/30/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.40lb of NB for cash and 0.60lb of NB for carter,,,,DVE,NSF
10/30/2024 16:21,Red Fox,Krystal,Feeding/Observation,10/30/2024,8:45:00 AM,,Yes,,,,,,,,,,,,,,,,,0.25lb of blueberries and green beans and 0.25lb of NB each ,,,,DVE,NSF
10/29/2024 17:09,Bobcat,John,Feeding/Observation,10/29/2024,4:55:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,Carter .6 Cash .4,,,,DVE,Cash was pacing once food was added.
10/29/2024 15:50,Bobcat,Krystal,Feeding/Observation,10/29/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Carter 0.60lb of NB and cash 0.30lb of NB,,,,DVE,NSF
10/29/2024 15:51,Red Fox,Krystal,Feeding/Observation,10/29/2024,8:15:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/28/2024 19:42,Red Fox,Krystal,Feeding/Observation,10/28/2024,6:50:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB each,,,,DVE,NSF
10/28/2024 19:41,Bobcat,Krystal,Feeding/Observation,10/28/2024,6:40:00 PM,,Yes,,,,,,,,,,,,,,,,,Carter 0.60lb of NB. cash 0.30lb of NB,,,,DVE,NSF
10/27/2024 9:12,Red Fox,John,Feeding/Observation,10/27/2024,9:10:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/27/2024 9:11,Bobcat,John,Feeding/Observation,10/27/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/27/2024 8:49,Red Fox,John,Feeding/Observation,10/26/2024,4:45:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
10/27/2024 8:49,Bobcat,John,Feeding/Observation,10/26/2024,4:30:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/26/2024 14:38,Wolf,John,Feeding/Observation,10/26/2024,2:00:00 PM,,Yes,,,,,,Nebraska Brand,,,,Nebraska Brand,Nebraska Brand,,,,,,,,,,DVE,NSF
10/26/2024 9:31,Red Fox,John,Feeding/Observation,10/26/2024,9:15:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/26/2024 9:31,Bobcat,John,Feeding/Observation,10/26/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/25/2024 19:07,Bobcat,Krystal,Feeding/Observation,10/25/2024,6:45:00 PM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.60lb of NB each ,,,,DVE,NSF
10/25/2024 19:06,Red Fox,Krystal,Feeding/Observation,10/25/2024,6:30:00 PM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.40lb of NB each,,,,DVE,NSF
10/21/2024 18:30,Red Fox,John,Feeding/Observation,10/21/2024,6:30:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
10/21/2024 18:30,Bobcat,John,Feeding/Observation,10/21/2024,6:00:00 PM,,Yes,,,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,Cash did not eat AM feed both were showing signs of stress.
10/21/2024 14:47,Red Fox,John,Feeding/Observation,10/21/2024,10:45:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/21/2024 14:47,Bobcat,John,Feeding/Observation,10/21/2024,10:20:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/20/2024 17:06,Red Fox,Krystal,Feeding/Observation,10/20/2024,4:50:00 PM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.40lb of NB each ,,,,DVE,NSF
10/20/2024 17:05,Bobcat,Krystal,Feeding/Observation,10/20/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.60lb of Nb each ,,,,DVE,NSF
10/20/2024 10:21,Red Fox,Krystal,Feeding/Observation,10/20/2024,9:30:00 AM,,Yes,,,,,,,,,,,,,,,,,"Jake - 0.25lb of fresh peppers, cucumbers, and blue berries each",,,,DVE,NSF
10/20/2024 10:19,Bobcat,Krystal,Feeding/Observation,10/20/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.60lb of NB ,,,,DVE,NSF
10/19/2024 18:04,Bobcat,Krystal,Feeding/Observation,10/19/2024,6:00:00 PM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.60lb of NB,,,,DVE,NSF
10/19/2024 18:05,Red Fox,Krystal,Feeding/Observation,10/19/2024,5:45:00 PM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.40lb of NB,,,,DVE,NSF
10/19/2024 15:31,Wolf,Krystal,Feeding/Observation,10/19/2024,2:00:00 PM,,Yes,,,,,,,,,,,,,,,,,Jake - 8.0lb per wolf ,,,,DVE,NSF
10/19/2024 15:30,Red Fox,Krystal,Feeding/Observation,10/19/2024,9:15:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/19/2024 15:30,Bobcat,Krystal,Feeding/Observation,10/19/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.60lb of NB,,,,DVE,NSF
10/18/2024 18:45,Red Fox,John,Feeding/Observation,10/18/2024,6:25:00 PM,,Yes,,"Nebraska Brand, Whole prey",Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
10/18/2024 18:20,Bobcat,John,Feeding/Observation,10/18/2024,6:00:00 PM,,Yes,,Whole prey,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/18/2024 9:42,Red Fox,Krystal,Feeding/Observation,10/18/2024,9:15:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/18/2024 9:41,Bobcat,Krystal,Feeding/Observation,10/18/2024,9:00:00 AM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.60lb of NB,,,,DVE,NSF
10/16/2024 14:25,Wolf,John,Feeding/Observation,10/16/2024,2:00:00 PM,,Yes,,,,,,Nebraska Brand,,,,Nebraska Brand,Nebraska Brand,,,,,,,,,,DVE,NSF
10/16/2024 10:21,Red Fox,John,Feeding/Observation,10/16/2024,9:15:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/16/2024 10:21,Bobcat,John,Feeding/Observation,10/16/2024,8:45:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/15/2024 10:09,Red Fox,Krystal,Feeding/Observation,10/15/2024,9:35:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
10/15/2024 10:07,Bobcat,Krystal,Feeding/Observation,10/15/2024,9:15:00 AM,,Yes,,,,,,,,,,,,,,,,,Jake - 0.60lb of NB,,,,DVE,NSF
10/14/2024 10:50,Red Fox,Krystal,Feeding/Observation,10/14/2024,9:30:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
10/14/2024 10:51,Bobcat,Krystal,Feeding/Observation,10/14/2024,9:15:00 AM,,Yes,,,,,,,,,,,,,,,,,0.60 lb of NB ,,,,DVE,NSF
10/13/2024 18:01,Red Fox,John,Feeding/Observation,10/13/2024,5:35:00 PM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
10/13/2024 18:00,Bobcat,John,Feeding/Observation,10/13/2024,5:15:00 PM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/13/2024 10:18,Red Fox,John,Feeding/Observation,10/13/2024,9:25:00 AM,,Yes,,,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
10/13/2024 10:18,Bobcat,John,Feeding/Observation,10/13/2024,9:00:00 AM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
10/12/2024 9:48,Red Fox,John,Feeding/Observation,10/12/2024,9:30:00 AM,,Yes,,Nebraska Brand,"Nebraska Brand, Fresh Vegetables",,,,,,,,,,,,,,,,,,DVE,NSF
10/12/2024 9:47,Bobcat,John,Feeding/Observation,10/12/2024,9:25:00 AM,,Yes,,Nebraska Brand,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
